station_key,station_id,name,road_name,intersection,lga,suburb,post_code,device_type,wgs84_latitude,wgs84_longitude
56776,24008,King Georges Road,King Georges Road,The Boulevarde,Canterbury,Wiley Park,2195.0,Trafficorder Dual Tube Classifier,-33.922554,151.068237
15286001,7121,South Dowling Street,South Dowling Street,Eastern Distributor,Sydney,Surry Hills,2010.0,Tirtl,-33.886032,151.218079
57430,74202,Pacific Highway,Pacific Highway,Mills Avenue,Hornsby,Asquith,2077.0,Trafficorder Loop Counter,-33.684055,151.110504
17126149,7120,South Dowling Street,South Dowling Street,Fitzroy Street,Sydney,Surry Hills,2010.0,Tirtl,-33.886311,151.217911
57102,52040,Epping Road,Epping Road,Rivett Road,Ryde,North Ryde,2113.0,Trafficorder Loop Counter,-33.798531,151.138992
56863,32039,River Road,River Road,Fleming Street,Lane Cove,Lane Cove,2066.0,Trafficorder Loop Counter,-33.825085,151.178818
57050,50234,Victoria Road,Victoria Road,Myrtle Street,Parramatta,Rydalmere,2116.0,Excel Lpl,-33.812046,151.039719
55348,02243,Eastern Distributor,Eastern Distributor,Flinders Street,Sydney,Darlinghurst,2010.0,Trafficorder Dual Tube Classifier,-33.884388,151.217804
15934010,T0298,Great Western Highway,Great Western Highway Hvcs,Carawatha Road,Blue Mountains,Blackheath,2785.0,Tirtl,-33.617626,150.274033
57011,49001,Parramatta Road,Parramatta Road,Marsh Street,Parramatta,Granville,2142.0,Trafficorder Loop Counter,-33.832489,151.016388
56753,23032,Forest Road,Forest Road,Bayview Street,Rockdale,Bexley,2207.0,Trafficorder Loop Counter,-33.947483,151.12796
56837,28121,Western Motorway,Western Motorway,Homebush Bay Drive,Strathfield,Homebush West,2140.0,Trafficorder Loop Counter,-33.85783,151.070923
56762,23067,Marsh Street,Marsh Street,Rockwell Avenue,Rockdale,Arncliffe,2205.0,Excel Ll,-33.934475,151.15831
57434,74218,Pennant Hills Road,Pennant Hills Road,Frith Avenue,Hornsby,Wahroonga,2076.0,Trafficorder Loop Counter,-33.720676,151.10527
56885,34001,Spit Road,Spit Road,Manly Road,Mosman,Middle Harbour,2087.0,Excel Lpl,-33.803474,151.246109
57440,74229,Beecroft Road,Beecroft Road,Old Beecroft Road,Hornsby,Cheltenham,2119.0,Excel Lpl,-33.760658,151.07962
57135,55030,Pittwater Road,Pittwater Road,Lismore Avenue,Warringah,Dee Why,2099.0,Trafficorder Dual Tube Classifier,-33.747414,151.290802
